$dn,ikePDN,ipSecAction,ipSecPDN,policyOrderNumber,triggerDN,userLabel,dynamicLocalIpAddressDN,localIpAddress,localIpPort,localIpPrefixLength,policyAnchor,protocol,remoteIpAddress,remoteIpPort,remoteIpPrefixLength,dynamicLocalIpAddressDN.1,localIpAddress.1,localIpPort.1,localIpPrefixLength.1,policyAnchor.1,protocol.1,remoteIpAddress.1,remoteIpPort.1,remoteIpPrefixLength.1
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-11,MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,14,,,,10.140.168.15,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-12,MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,13,,,,10.140.136.15,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-13,MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,12,,,,10.140.8.15,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-14,MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-17643/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,11,,,,10.140.72.15,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-1,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-6,0,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-2,1,,gNB_Direct_X2_CP,,10.140.135.99,-1,32,,132,10.140.199.99,36422,32,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-11,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,11,,Indirect_X2_S1_CP1,,10.140.135.99,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-12,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,12,,Indirect_X2_S1_CP2,,10.140.167.99,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-13,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,13,,Indirect_X2_S1_UP,,10.140.71.99,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-14,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,14,,Indirect_X2_S1_MP,,10.140.7.99,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-15,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-4,0,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,15,,2G C/U_PLANE,,10.219.27.55,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-16,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-4,0,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,16,,2G M_Plane,,10.245.155.55,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-2,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-6,0,MRBTS-17648/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-2,2,,gNB_Direct_X2_UP,,10.140.71.99,-1,32,,17,10.140.103.99,2152,32,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-11,MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,11,,Mplane - S1,,10.140.7.180,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-12,MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,12,,Uplane - S1,,10.140.71.180,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-13,MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,13,,Sec Cplane - S1,,10.140.167.180,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-14,MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEPROTGRP-1,0,MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,14,,Pri Cplane - S1,,10.140.135.180,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-16,MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-4,0,MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,16,,2G M_Plane,,10.245.155.121,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
PLMN-PLMN/MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/SECPOL-17,MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IKEP-4,0,MRBTS-18210/TNLSVC-1/TNL-1/IPAPP-1/IPSECC-1/IPSECP-1,15,,2G C/U_Plane,,10.219.27.121,-1,32,,-1,0.0.0.0,-1,0,,,,,,,,,
