MRBTS,Cell ID,Hub / Child,NMS,Vendor,Primary IPSEC Gateway,Primary Gateway IP,Primary - NEW IKE TEP,Secondary IPSEC Gateway,Secondary Gateway IP,Secondary - NEW IKE TEP
PLMN-PLMN/MRBTS-21612,94907,Hub,NetAct R10,Nokia Flexi,Glasgow SecGW 1 Distributed,10.138.0.205,10.138.7.205,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-21718,95657,Child,NetAct R10,Nokia Airscale,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-22193,97205,Hub,NetAct R10,Nokia Flexi,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-22256,97339,Child,NetAct R10,Nokia Flexi,Glasgow SecGW 1 Distributed,10.138.0.205,10.138.7.205,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-22325,97445,Child,NetAct R10,Nokia Airscale,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-22368,97509,Child,NetAct R10,Nokia Flexi,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-22427,97755,Hub,NetAct R10,Nokia Flexi,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-22429,97757,Hub,NetAct R10,Nokia Airscale,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-22439,97819,Child,NetAct R10,Nokia Flexi,Glasgow SecGW 1 Distributed,10.138.0.205,10.138.7.205,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-32180,97827,Hub,NetAct R10,Nokia Airscale,Glasgow SecGW 1 Distributed,10.138.0.205,10.138.7.205,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
PLMN-PLMN/MRBTS-22440,97829,Child,NetAct R10,Nokia Airscale,Leeds Basinghall SecGW 1 Distributed,10.138.0.225,10.138.7.225,Manchester SecGW  2 Distributed,10.138.0.211,10.138.7.211
